Nuts,ETER_ID,INST_NAME,REF_YEAR,LEGAL_STAT,FOUND_YEAR,GRAD_ISCED8,R&D_EXP,RES_MOB,COOP_RES,TOT_INC_STUD,TOT_OUT_STUD,INC_STAFF,OUT_STAFF,TOT_ACC_STAFF,FOR_ACC_STAFF,STUD_ENR_I8,TOT_EXP,TOT_REV,CORE_BUDG,TOT_STAFF,TOT_RES,TOT_STUD_ENR
FRE1,FR0126,Institut régional d'administration de Lille,2017,0.0,1970.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FRE1,FR0127,Université du Littoral Côte d'Opale,2017,0.0,1991.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,8158.0
FRE1,FR0128,IXAD École des avocats de la région Nord-Ouest,2017,1.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FRE2,FR0130,Université de technologie de Compiègne,2017,0.0,1972.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,4020.0
FRE2,FR0131,École supérieure de chimie organique et minérale,2017,1.0,1957.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FRE1,FR0132,Université d'Artois,2017,0.0,1992.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,10760.0
FR10,FR0134,Ecole nationale des finances publiques,2017,0.0,2010.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FRK1,FR0136,École nationale supérieure d'architecture de Clermont-Ferrand,2017,0.0,1970.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FRK1,FR0138,VetAgro Sup,2017,0.0,2010.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0
FRI1,FR0140,Université de Pau et des Pays de l'Adour,2017,0.0,1972.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,10860.0
FRI1,FR0141,École supérieure d’art des Pyrénées — Pau Tarbes,2017,0.0,2011.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FRI1,FR0142,École supérieure des technologies industrielles avancées,2017,1.0,1985.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FRJ2,FR0143,École nationale d'ingénieurs de Tarbes,2017,0.0,1963.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1147.0
FRJ1,FR0144,Université de Perpignan - Via Domitia,2017,0.0,1979.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,7878.0
FRF1,FR0145,École nationale supérieure d'architecture de Strasbourg,2017,0.0,1922.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FRF1,FR0146,École supérieure des arts décoratifs de Strasbourg,2017,0.0,1892.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FRF1,FR0147,École nationale du génie de l'eau et de l'environnement de Strasbourg,2017,0.0,1952.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FRF1,FR0148,Institut national des sciences appliquées de Strasbourg,2017,0.0,1875.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,2015.0
FRF1,FR0149,Université de Strasbourg,2017,0.0,2009.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,44397.0
FRF1,FR0150,Université de Haute-Alsace,2017,0.0,1975.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,9023.0
FRK2,FR0151,École nationale supérieure d'architecture de Lyon,2017,0.0,1906.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FRK2,FR0152,École nationale supérieure des beaux-arts de Lyon,2017,0.0,1756.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FRK2,FR0153,École centrale de Lyon,2017,0.0,1857.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,1696.0
FRK2,FR0154,Institut national des sciences appliquées de Lyon,2017,0.0,1957.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,5571.0
FRK2,FR0155,École catholique d'arts et métiers,2017,1.0,1900.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FRK2,FR0156,Université catholique de Lyon,2017,1.0,1875.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0
FRK2,FR0157,Université Claude Bernard - Lyon 1,2017,0.0,1971.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,34567.0
FRK2,FR0158,Université Lumière - Lyon 2,2017,0.0,1969.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,26472.0
FRK2,FR0159,Institut régional d'administration de Lyon,2017,0.0,1971.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FRK2,FR0160,Institut supérieur d'agriculture et d'agroalimentaire Rhône-Alpes,2017,1.0,1968.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FRK2,FR0161,Université Jean Moulin - Lyon 3,2017,0.0,1974.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,26221.0
FRK2,FR0162,École nationale supérieure des sciences de l'information et des bibliothèques,2017,0.0,1963.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,228.0
FRK2,FR0163,École nationale des travaux publics de l'État,2017,0.0,1954.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FRK2,FR0164,Conservatoire national supérieur musique et danse de Lyon,2017,0.0,1980.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FRK2,FR0165,Institut textile et chimique,2017,1.0,1988.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FRK2,FR0166,École supérieure chimie physique électronique de Lyon,2017,1.0,1994.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FRK2,FR0167,École des avocats Rhône-Alpes,2017,1.0,1971.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FRK2,FR0168,École normale supérieure de Lyon,2017,0.0,2010.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,1520.0
FRG0,FR0169,Le Mans Université,2017,0.0,1977.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,9033.0
FRK2,FR0170,Université de Savoie Mont Blanc,2017,0.0,1979.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,12899.0
FR10,FR0171,École d'ingénieur de la ville de Paris,2017,0.0,1959.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FR10,FR0172,"Faculté Libre de Droit, d’Economie et de Gestion",2017,1.0,1968.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FR10,FR0173,Université Paris-Dauphine,2017,0.0,1968.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,10458.0
FR10,FR0174,Université Paris 1 - Panthéon Sorbonne,2017,0.0,1971.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,35244.0
FR10,FR0175,Université Panthéon-Assas,2017,0.0,1971.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,15400.0
FR10,FR0176,Université Sorbonne Nouvelle - Paris 3,2017,0.0,1971.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,14280.0
FR10,FR0178,Université Paris Descartes,2017,0.0,1971.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,30255.0
FR10,FR0180,Université Paris Diderot,2017,0.0,1970.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,22448.0
