ETER ID,Institution Name,Reference year,Country Code,Legal status,Institution Category standardized,Total staff (FTE),Total academic staff (FTE),Total students enrolled ISCED 5-7,R1,R2,Flag R1,Flag R2,Total academic staff (HC),Total staff (HC),R1a,R2a,Flag R1a,Flag R2a
AT0053,Fachhochschule des bfi Wien GmbH,2016,AT,private government dependent,other,277.25,236.0,2017.12,8.547118644067796,0.8512173128944995,0,0,,,,,1,0
AT0054,MCI - Management Center Innsbruck Internationale Hochschule GmbH,2016,AT,private government dependent,other,492.75,405.0,2979.87,7.357703703703702,0.821917808219178,0,0,,,,,1,0
AT0055,"Bundesministerium für Landesverteidigung und Sport, Sektion II, Gruppe Ausbildungswesen, Ausbildung A",2016,AT,public,other,94.75,68.75,124.83,1.815709090909091,0.7255936675461742,1,0,,,,,1,0
AT0056,FHS Kufstein Tirol Bildungs GmbH,2016,AT,private government dependent,other,229.5,161.0,1733.25,10.765527950310561,0.7015250544662309,0,0,,,,,0,0
AT0057,FH OÖ Studienbetriebs GmbH,2016,AT,private government dependent,other,1240.0,1017.25,5728.08,5.630946178422216,0.8203629032258064,0,0,,,,,1,0
AT0058,Fachhochschule Campus Wien,2016,AT,private government dependent,other,894.0,691.75,5458.72,7.8911745572822545,0.7737695749440716,0,0,,,,,1,0
AT0059,Lauder Business School,2016,AT,private government dependent,other,23.25,22.0,354.5,16.113636363636363,0.946236559139785,0,0,,,,,0,0
AT0060,FHG – Zentrum für Gesundheitsberufe Tirol GmbH,2016,AT,private government dependent,other,194.5,177.75,670.83,3.7740084388185657,0.9138817480719794,1,0,,,,,1,0
AT0061,FFH Gesellschaft zur Erhaltung und Durchführung von Fachhochschul-Studiengängen mbH,2016,AT,private government dependent,other,81.25,47.75,665.23,13.93151832460733,0.5876923076923077,0,0,,,,,0,0
AT0062,FHWien der WKW,2016,AT,private government dependent,other,361.75,291.75,3218.41,11.031396743787491,0.806496199032481,0,0,,,,,0,0
AT0063,Fachhochschule Vorarlberg GmbH,2016,AT,private government dependent,other,350.75,243.5,1403.5,5.763860369609858,0.6942266571632216,0,0,,,,,1,0
AT0064,Fachhochschule Technikum Wien,2016,AT,private government dependent,other,658.75,453.25,4130.31,9.11265306122449,0.6880455407969639,0,0,,,,,0,0
AT0065,IMC Fachhochschule Krems GmbH,2016,AT,private government dependent,other,394.75,271.0,2645.92,9.763542435424354,0.6865104496516783,0,0,,,,,0,0
AT0066,Fachhochschule Wiener Neustadt für Wirtschaft und Technik GmbH,2016,AT,private government dependent,other,622.0,476.5,3578.2,7.509338929695697,0.7660771704180064,0,0,,,,,1,0
AT0067,Fachhochschule Kärnten,2016,AT,private government dependent,other,819.25,696.75,2376.88,3.4113814137064944,0.8504729935916997,1,0,,,,,1,0
AT0068,FH JOANNEUM Gesellschaft mbH,2016,AT,private government dependent,other,955.0,791.5,4210.7,5.319898926089703,0.8287958115183246,1,0,,,,,1,0
AT0069,Danube Private University,2016,AT,private,uas,97.44,52.5,1091.33,20.787238095238095,0.5387931034482759,0,0,,,,,0,0
AT0070,FH Gesundheitsberufe Oberösterreich,2016,AT,private government dependent,other,209.25,194.0,796.33,4.10479381443299,0.927120669056153,1,0,,,,,1,0
