ETER ID,Institution Name,Reference year,Country Code,Legal status,Institution Category standardized,Region of establishment (NUTS 2),Personnel expenditure (PPP),Total Current expenditure (PPP),Basic government allocation (PPP),Total Current revenues (PPP),Total academic staff (FTE),Total staff (FTE),Total students enrolled ISCED 5-7,Total graduates ISCED 5-7,Total students enrolled at ISCED 8,Total graduates at ISCED 8,R_1,R_2,R_3,R_4,R_5,R_6,R_7,R_8,Target,Flag Total Students ISCED 5-7,Flag Total Students ISCED 5,Flag Total Students ISCED 6,Flag Total Students ISCED 7,Flag Total Students ISCED 7 long degree,Flag Total Students ISCED 8,Flag Total Graduates ISCED 5-7,Flag Total Graduates ISCED 5,Flag Total Graduates ISCED 6,Flag Total Graduates ISCED 7,Flag Total Graduates ISCED 7 long degree,Flag Total Graduates ISCED 8,Flag Total Staff FTE,Flag Total Staff HC,Flag Academic Staff FTE,Flag Academic Staff HC,Flag Non-Academic Staff FTE,Flag Total current revenues (NC),Flag Total current expenditures (NC)
AT0026,Paracelsus Medizinische Privatuniversität Salzburg,2016,AT,private,uas,AT32,,,,,190.04,218.4,868.67,92.0,93.5,8.0,4.570985055777731,0.8701465201465199,,,,,0.10590903334983366,11.6875,2,0,1,0,0,0,0,2,0,0,0,2,0,2,0,2,0,1,0,0
AT0027,Webster University Vienna - Private University,2016,AT,private,uas,AT13,,,,,30.5,60.08,363.2,104.5,,,11.908196721311473,0.5076564580559254,,,,,0.2877202643171806,,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,0,0,0
AT0028,Anton Bruckner Privatuniversität,2016,AT,private,uas,AT31,,,,,125.58,158.85,553.2,132.5,,,4.405160057333972,0.7905571293673277,,,,,0.23951554591467825,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT0030,NDU New Design University Privatuniversität St. Pölten,2016,AT,private,uas,AT12,,,,,20.88,35.18,315.67,164.0,,,15.11829501915709,0.5935190449118817,,,,,0.5195298888079323,,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
AT0031,Musik und Kunst Privatuniversität der Stadt Wien,2016,AT,private,uas,AT13,,,,,163.02,194.68,540.87,148.5,,,3.3178137651821857,0.8373741524553113,,,,,0.2745576571079927,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT0032,Sigmund Freud Privatuniversität Wien,2016,AT,private,uas,AT13,,,,,120.75,191.34,2739.18,618.33,174.67,27.5,22.68472049689441,0.6310755722797114,,,,,0.2257354390730073,6.351636363636363,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0
AT0033,MODUL University Vienna,2016,AT,private,uas,AT13,,,,,49.28,111.7,332.83,142.0,11.0,1.0,6.753855519480518,0.44118173679498657,,,,,0.4266442327915152,11.0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
AT0034,Privatuniversität Schloss Seeburg,2016,AT,private,uas,AT32,,,,,15.48,27.51,431.5,69.0,,,27.87467700258398,0.5627044711014176,,,,,0.15990730011587487,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT0035,Private Pädagogische Hochschule Stiftung Burgenland,2016,AT,private,uni,AT11,,,,,49.74,,642.17,101.0,,,12.910534780860472,,,,,,0.15727922512730275,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AT0036,Pädagogische Hochschule Kärnten,2016,AT,public,uni,AT21,,,,,72.44,,766.34,174.5,,,10.578961899503037,,,,,,0.2277057180885769,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
AT0037,Pädagogische Hochschule Niederösterreich,2016,AT,public,uni,AT12,,,,,105.05,,2607.91,227.05,,,24.82541646834841,,,,,,0.08706205352178566,,2,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
AT0038,Pädagogische Hochschule Oberösterreich,2016,AT,public,uni,AT31,,,,,140.36,,1976.53,459.67,,,14.081860929039607,,,,,,0.23256414018507185,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AT0039,Private Pädagogische Hochschule der Diözese Linz,2016,AT,private,uni,AT31,,,,,112.36,,1541.9,391.83,,,13.722855108579564,,,,,,0.25412153836176143,,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
AT0040,Pädagogische Hochschule Salzburg Stefan Zweig,2016,AT,public,uni,AT32,,,,,87.64,,835.65,240.0,,,9.535029666818804,,,,,,0.28720157960868786,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
AT0041,Pädagogische Hochschule Steiermark,2016,AT,public,uni,AT22,,,,,118.91,,1911.16,441.0,,,16.072323606088634,,,,,,0.2307499110487871,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AT0042,Kirchliche Pädagogische Hochschule der Stiftung der Diözese Graz-Seckau,2016,AT,private,uni,AT22,,,,,57.99,,692.22,109.5,,,11.936885669943091,,,,,,0.15818670364912887,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AT0043,Pädagogische Hochschule Tirol,2016,AT,public,uni,AT33,,,,,112.3,,1181.35,236.0,,,10.519590382902939,,,,,,0.19977144791975285,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
AT0044,Kirchliche Pädagogische Hochschule Edith Stein,2016,AT,private,uni,AT33,,,,,46.53,,542.69,160.0,,,11.663228024930156,,,,,,0.29482761797711404,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AT0045,Pädagogische Hochschule Vorarlberg,2016,AT,public,uni,AT34,,,,,46.91,,672.83,134.0,,,14.34299722873588,,,,,,0.19915877710565816,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AT0046,Pädagogische Hochschule Wien,2016,AT,public,uni,AT13,,,,,186.65,,3966.94,655.55,,,21.25336190731316,,,,,,0.16525331867888093,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT0047,Kirchliche Pädagogische Hochschule Wien/Krems,2016,AT,private,uni,AT13,,,,,157.82,,3793.26,640.89,,,24.03535673552148,,,,,,0.16895493585991994,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AT0048,Hochschule für Agrar- und Umweltpädagogik Wien,2016,AT,public,uni,AT13,,,,,27.95,,489.37,103.0,,,17.5087656529517,,,,,,0.2104746919508756,,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
